Name,Countries,Stage,Type,Cheque_min,Cheque_max,Industry
Faraday Venture Partners,"Germany,Austria,Belgium,Czech Republic,Denmark,Estonia,Finland,France,Greece,Iceland,Ireland,Israel,Italy,Hungary,Latvia,Lithuania,Luxembourg,Malta,Croatia,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Cyprus,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom,Ukraine","pre-seed, seed",VC,300000,600000,Sector Agnostic
Felix Capital,"United Kingdom,France","pre-seed, seed, series+",VC,500000,20000000,IT
FEMSA Ventures,"Mexico,Brazil,United States,Colombia,Argentina,Chile,Peru","pre-seed, seed, series+",Corporate VC,500000,5000000,Other
Fernbrook Capital Management,"United States,United Kingdom","pre-seed, seed, series+",VC,1000000,2000000,IT
Fil Rouge Capital,Croatia,"pre-seed, idea, prototype/mvp, seed, series+",VC,5000,1000000,Sector Agnostic
Fincome,France,"pre-seed, pre-ipo, seed, series+",Revenue-based,25000,200000,Other
Fintech Start,"Russia,Ukraine,Kazakhstan,Belarus,Latvia,Lithuania,Uzbekistan,Tajikistan,Moldova","pre-seed, idea, prototype/mvp, seed",Public fund,50000,100000,Fintech
Fintech Ventures Fund,United States,"pre-seed, idea, prototype/mvp, seed",VC,250000,2000000,Fintech
First Bridge Ventures,"France,United Kingdom,Spain,Germany,Italy,Israel,Luxembourg,Netherlands,Belgium","pre-seed, pre-ipo, series+",VC,3000000,15000000,"Media, Fintech"
First Check Ventures,"United States,Mexico,India,Pakistan,Colombia,Brazil,Afghanistan,Albania,Algeria,Angola,Andorra,Antigua and Barbuda,Armenia,Argentina,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Barbados,Bangladesh,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Norway,Oman,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,United Kingdom,Ukraine,United Arab Emirates,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe","pre-seed, idea, prototype/mvp, pre-ipo, seed, series+",VC,100000,1000000,Sector Agnostic
First Momentum Ventures,"Germany,Austria,Switzerland","pre-seed, idea, prototype/mvp, seed",VC,50000,200000,IT
First Stage Labs,"United Arab Emirates,India,Indonesia,Portugal,Brazil,United States,United Kingdom,Armenia,Georgia,France,Latvia,Lithuania,Cyprus","pre-seed, idea, prototype/mvp, seed",VC,100000,2000000,Sector Agnostic
First Wellington Securities Inc.   ,"Canada,United States","pre-seed, pre-ipo, seed, series+",VC,1000000,50000000,Sector Agnostic
FirstCheck Africa,"Nigeria,Kenya,South Africa,Ghana,Egypt","pre-seed, idea, prototype/mvp, seed",VC,50000,250000,IT
FIRSTPICK,"Lithuania,Latvia,Estonia","pre-seed, idea, prototype/mvp, seed",VC,50000,300000,"IT, Consumer, Fintech"
FITEC,Italy,"pre-seed, pre-ipo, series+",VC,5000000,25000000,Sector Agnostic
Five Elms Capital,"Argentina,Australia,Belgium,Austria,Bolivia,Brazil,Canada,Chile,Colombia,Denmark,Ecuador,Finland,France,Germany,Italy,Ireland,United States,United Kingdom,Switzerland,Sweden,South Africa,Portugal,Norway,New Zealand,Mexico,Venezuela,Israel,Luxembourg,Spain,Costa Rica,Czech Republic,Croatia,Bosnia-H,El Salvador,Estonia,Latvia,Iceland,Netherlands,Peru,Ukraine,Slovenia","pre-seed, series+",VC,5000000,50000000,IT
Five Seasons Ventures,"France,Germany,Italy,Spain,Portugal,United Kingdom,Austria,Switzerland,Netherlands,Belgium","pre-seed, seed, series+",VC,2000000,10000000,Sector Agnostic
FJ Labs,"United States,United Kingdom,France,Spain,Brazil,Colombia,Argentina,Mexico,Canada,Chile,Germany,Netherlands,Sweden","pre-seed, pre-ipo, seed, series+",VC,250000,2000000,Other
Flash Ventures,"Australia,Brazil,Indonesia,India,Thailand,Singapore,Malaysia,Germany,France,Spain,United Kingdom","pre-seed, idea, prototype/mvp, seed",VC,500000,1000000,Sector Agnostic
Flashpoint,"United States,Armenia,Austria,Belarus,Bulgaria,Croatia,Czech Republic,Estonia,Finland,Georgia,Greece,Hungary,Latvia,Lithuania,Montenegro,North Macedonia,Poland,Romania,Russia,Serbia,Slovakia,Slovenia,United Kingdom,Ukraine,Israel,Turkey","pre-seed, seed, series+",VC,1000000,10000000,Other
FlashPoint Capital,"Canada,United States","pre-seed, idea, prototype/mvp, seed, series+","Incubator, Accelerator",25000,150000,Sector Agnostic
Flint Capital,"Canada,United States,Cyprus,Czech Republic,Estonia,Finland,France,Germany,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Netherlands,Poland,Portugal,Spain,Sweden,Switzerland,United Kingdom,Ukraine,Israel","pre-seed, seed, series+",VC,500000,5000000,IT
FLORA Ventures,"Israel,Germany,Belgium,Switzerland,Austria,Croatia,Belize,Czech Republic,Denmark,Estonia,Finland,France,Greece,Hungary,Iceland,Ireland,Italy,Liechtenstein,Luxembourg,Lithuania,Monaco,Malta,Cyprus,United Kingdom,United Arab Emirates,Sweden,Spain,Slovenia,Slovakia,Serbia,Portugal,Norway,Turkey,Morocco,Netherlands,Poland,Romania,Latvia","pre-seed, idea, prototype/mvp, seed, series+",VC,1000000,5000000,Sector Agnostic
Florian Huber,"Germany,United States,United Kingdom","pre-seed, idea, prototype/mvp, seed, series+",Solo angel,100000,200000,"IT, Consumer"
Florida Funders,United States,"pre-seed, seed, series+",VC,250000,1000000,"IT, Edtech, Fintech"
Flossbach von Storch - Innovation Hub,"Austria,Germany,Switzerland","pre-seed, idea, prototype/mvp, seed, series+",Corporate VC,100000,500000,"IT, Fintech"
Flucas Ventures,"United States,Nigeria,Mexico,Colombia,Brazil,India,Pakistan,Ghana,South Africa,Kenya,Canada,Israel,United Arab Emirates,Egypt,Morocco","pre-seed, pre-ipo, seed, series+",Angel network,100000,5000000,Fintech
Fluent Ventures,"United States,Canada,United Kingdom,Germany,France,Belgium,Netherlands,Sweden,India,Nigeria,Singapore,Vietnam,Indonesia,Thailand,Brazil,Mexico,Colombia","pre-seed, seed, series+",VC,200000,2000000,Fintech
Flutter Finance,"United States,Singapore,Japan,Turkey","pre-seed, idea, prototype/mvp",Startup studio,20000,150000,Other
Forerunner Ventures,United States,"pre-seed, seed, series+",VC,1000000,20000000,Consumer
Form Ventures,United Kingdom,"pre-seed, idea, prototype/mvp, seed",VC,250000,1000000,Sector Agnostic
Fortino Capital,"Belgium,France,Germany,Luxembourg,Netherlands","pre-seed, seed, series+",VC,1000000,4000000,IT
Forward Partners,United Kingdom,"pre-seed, idea, prototype/mvp, seed",VC,300000,3000000,Other
Founder Institute,"Germany,United States,United Kingdom,Bulgaria,Brazil,Canada","pre-seed, idea, prototype/mvp, seed, series+","Incubator, Accelerator",0,0,IT
Founderment,"Denmark,Germany,Norway,Sweden,United Kingdom","pre-seed, idea, prototype/mvp, seed",VC,200000,600000,Consumer
FounderPartners,"Argentina,Australia,Austria,Armenia,Belarus,Belgium,Bulgaria,Bosnia-H,Brazil,Canada,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,India,Hungary,Ireland,Israel,Japan,Latvia,Lithuania,Italy,Mexico,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,Taiwan,Ukraine,Turkey,United Kingdom,United States","pre-seed, seed, series+",Startup studio,50000,1000000,IT
Founders Capital,United Kingdom,"pre-seed, idea, prototype/mvp, seed, series+",Angel network,50000,200000,"IT, Fintech"
FOV Ventures,"Austria,Belgium,Bulgaria,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom,Ukraine","pre-seed, idea, prototype/mvp, seed, series+",VC,250000,500000,Sector Agnostic
Framework Ventures,"United States,China,Hong Kong,United Kingdom,Germany","pre-seed, idea, prototype/mvp, seed, series+",VC,500000,5000000,Sector Agnostic
Freigeist,"Germany,Switzerland,Austria,Belgium,Netherlands,Luxembourg,United Kingdom,France,Spain,Portugal,Denmark,Italy,Norway,Sweden,Finland,Latvia,Estonia,Czech Republic,Lithuania,Poland,Liechtenstein,Ukraine","pre-seed, idea, prototype/mvp, seed, series+",VC,500000,2000000,IT
Frenetik Priority,Portugal,"pre-seed, idea, prototype/mvp, seed",Angel network,100000,150000,Consumer
Front Row Ventures,Canada,"pre-seed, idea, prototype/mvp, seed",VC,25000,25000,Sector Agnostic
Frontier Ventures,United States,"pre-seed, seed, series+",VC,100000,3000000,IT
Frontierspace Ventures,"United States,United Kingdom,India","pre-seed, seed, series+",VC,100000,1000000,Sector Agnostic
Frontline Ventures,"Canada,United States,France,Germany,Ireland,Netherlands,Portugal,Spain,Switzerland,United Kingdom","pre-seed, idea, prototype/mvp, pre-ipo, series a",VC,100000,5000000,IT
Frst,France,"pre-seed, idea, prototype/mvp, seed",VC,500000,2000000,Sector Agnostic
Frumtak Ventures,"Iceland,Norway,Denmark,Sweden,Finland,Estonia,Lithuania,Latvia","pre-seed, seed, series+",VC,500000,5000000,Sector Agnostic
FTTF Fraunhofer Tech Transfer Fund,Germany,"pre-seed, idea, prototype/mvp, seed",VC,250000,250000,IT
Fulcrum Equity Partners,United States,"pre-seed, series+",VC,5000000,30000000,IT
Full Turn Capital,"Austria,Belgium,Canada,Czech Republic,Andorra,Bosnia-H,Croatia,Cyprus,Denmark,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Monaco,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom,United States,Bulgaria,Estonia","pre-seed, idea, prototype/mvp, seed, series+",VC,150000,300000,IT
Fundamental VC,India,"pre-seed, idea, prototype/mvp, seed",VC,500000,2000000,IT
FundingBox Deep Tech Fund,Poland,"pre-seed, idea, prototype/mvp, seed",VC,100000,500000,Sector Agnostic
Fuse Venture Partners,"United Kingdom,Italy,Spain,Portugal,France,Switzerland,Finland,Germany,Sweden,Poland,Austria,Ireland,Denmark,Belgium,Greece,Serbia,Slovakia,Netherlands,Hungary,Romania,Bulgaria,Croatia,Belarus,Ukraine,Moldova,Lithuania,Latvia,Estonia,Czech Republic,Slovenia,Norway,Albania,Luxembourg","pre-seed, pre-ipo, series+",VC,1000000,30000000,Sector Agnostic
Future Energy Ventures,"Germany,United States,Israel,United Kingdom,Switzerland","pre-seed, series+",VC,1000000,10000000,Energy
Future Positive Capital,"France,United Kingdom,Switzerland,Belgium,Spain,Portugal,Italy,Germany,Netherlands,Luxembourg,Denmark,Norway,Sweden,Latvia","pre-seed, idea, prototype/mvp, seed",VC,200000,3000000,IT
Future Wrk Ventures,"Austria,Denmark,Finland,Germany,Iceland,Norway,Sweden,Switzerland,United Kingdom","pre-seed, idea, prototype/mvp, seed",VC,25000,500000,Other
G2VP,United States,"pre-seed, seed, series+",VC,5000000,50000000,Sector Agnostic
Galicia Ventures,"Brazil,Argentina,Colombia,Chile,Uruguay,Peru,Mexico","pre-seed, seed, series+",Corporate VC,50000,500000,Fintech
Galileo Ventures,"Australia,Singapore,United States,United Kingdom","pre-seed, seed",VC,50000,350000,IT
Gamerforce Ventures,"Singapore,Indonesia,Malaysia,Hong Kong,Philippines,United States,United Kingdom,Vietnam,Australia,India","pre-seed, seed, series+",VC,50000,250000,IT
Garden District Ventures,"Indonesia,Malaysia,Philippines,Singapore,Thailand,Vietnam","pre-seed, idea, prototype/mvp, seed, series+",VC,50000,500000,Consumer
Gaurav Bansal,United States,"pre-seed, seed, series+",Solo angel,200000,500000,IT
Geek Ventures,United States,"pre-seed, idea, prototype/mvp, seed",VC,50000,200000,Sector Agnostic
gener8tor,"United States,Australia,Argentina,Belgium,Belize,New Zealand,Mexico,Canada,Brazil,Denmark,Iceland,Colombia,Guatemala,Norway,Italy,El Salvador,Chile,Venezuela,Portugal,United Kingdom,Greece,Finland,Peru,Honduras,France","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,100000,Sector Agnostic
Genoa Ventures,"United States,United Kingdom,France,Sweden","pre-seed, idea, prototype/mvp, seed, series+",VC,1000000,5000000,"Healthcare, Consumer, IoT"
Genting Ventures,"Singapore,Malaysia,Thailand,Indonesia,Philippines,Vietnam,United Kingdom,United States","pre-seed, seed, series+",Corporate VC,1,2,Sector Agnostic
Geometry Venture Development,"United States,Germany,United Kingdom,Turkey","pre-seed, idea, prototype/mvp, seed",VC,25000,200000,IT
Georgian,"Canada,United States,United Kingdom,Israel","pre-seed, pre-ipo, series+",VC,25000000,75000000,IT
Gert Trekels,"Belgium,Denmark,Finland,France,Germany,Luxembourg,Monaco,Netherlands,Norway,Portugal,Spain,Sweden,Switzerland,United Kingdom","pre-seed, idea, prototype/mvp, seed",Solo angel,1000,200000,IT
Giancarlo Vergine,"France,Italy,Spain","pre-seed, idea, prototype/mvp, seed, series+",Solo angel,5000,100000,IT
Gilgamesh Ventures,"Argentina,Brazil,Canada,Chile,Colombia,Mexico,Panama,Uruguay,United States","pre-seed, idea, prototype/mvp, seed",VC,150000,500000,Fintech
Ginkgo Equity,"Germany,United Kingdom,Austria,Switzerland,Netherlands","pre-seed, series+",VC,1000000,10000000,"Healthcare, IoT"
GMPVC German Media Pool,"Germany,Netherlands,Belgium,France,Spain,Czech Republic","pre-seed, pre-ipo, seed, series+",VC,300000,6000000,"Consumer, Fintech"
Go Capital,France,"pre-seed, idea, prototype/mvp, seed, series+",VC,300000,5000000,Sector Agnostic
Go Global World,"United States,Canada,Mexico,Brazil,France,United Kingdom,Japan,Germany,Spain,Netherlands,Australia","pre-seed, idea, prototype/mvp, pre-ipo, seed, series+",Angel network,20000,50000,Sector Agnostic
GoHub Ventures,"Argentina,Canada,Chile,Colombia,Mexico,United States,Belgium,Denmark,France,Italy,Netherlands,Norway,Portugal,Spain,Sweden,Switzerland,United Kingdom","pre-seed, series+",VC,1000000,4000000,IT
Golden Ventures,"United States,Canada","pre-seed, idea, prototype/mvp, seed",VC,400000,2000000,Sector Agnostic
Good Company,Israel,"pre-seed, idea, prototype/mvp, seed",VC,100000,500000,IT
Good News Ventures,"Canada,United States","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,500000,IT
Goose Capital,"Canada,Germany,Italy,United States","pre-seed, seed, series+",VC,250000,5000000,Other
Goose Valley Ventures,"Sweden,Norway,Denmark,Finland,Iceland","pre-seed, idea, prototype/mvp, seed",VC,100000,1000000,Fintech
Graft Ventures,"Antigua and Barbuda,Jamaica,Barbados,Trinidad and Tobago,Bahamas,Belize,Cuba,Dominica,Dominican Republic,Guyana,Haiti,Grenada,Saint Vincent and the Grenadines,Sant Kitts and Nevis,Sant Lucia,Suriname","pre-seed, pre-ipo, seed, series+",VC,250000,1000000,Sector Agnostic
Graham & Walker,United States,"pre-seed, idea, prototype/mvp, seed",VC,25000,400000,Sector Agnostic
Graphene Ventures,"Nigeria,South Africa,Argentina,Brazil,Canada,United States,Pakistan,Monaco,United Kingdom,Egypt,Saudi Arabia,United Arab Emirates","pre-seed, idea, prototype/mvp, seed, series+",VC,500000,2000000,IT
Graphite Ventures,Canada,"pre-seed, idea, prototype/mvp, seed, series+",VC,100000,5000000,"IT, Fintech"
Great Eagle Holdings,"Argentina,Brazil,Canada,United States,Cambodia,China,Hong Kong,India,Indonesia,Japan,Malaysia,Philippines,Singapore,South Korea,Taiwan,Thailand,Vietnam,Austria,Belgium,Denmark,France,Germany,Greece,Italy,Liechtenstein,Luxembourg,Netherlands,Norway,Spain,Sweden,Switzerland,United Kingdom,Israel,Saudi Arabia,Turkey,United Arab Emirates,Australia,New Zealand","pre-seed, idea, prototype/mvp, pre-ipo, seed, series+",Corporate VC,1000000,4000000,IT
Great Stuff Ventures,"Netherlands,United States,United Kingdom,Germany,Portugal,Greece,Spain,Czech Republic,Colombia,Brazil","pre-seed, idea, prototype/mvp, seed",Angel network,50000,75000,Sector Agnostic
Greenlight Re Innovations,United States,"pre-seed, idea, prototype/mvp, seed",Corporate VC,0,1000000,Sector Agnostic
Grishin Robotics,"United States,Canada","pre-seed, idea, prototype/mvp, seed, series+",VC,1000000,6000000,Consumer
Grit Ventures,United States,"pre-seed, seed",VC,250000,5000000,Sector Agnostic
Ground Capital,"Portugal,Spain,France,Italy,Germany,United Kingdom,Israel,Austria,Belgium,Croatia,Estonia","pre-seed, idea, prototype/mvp, seed",VC,250000,5000000,Other
Ground Up Ventures,"United States,Israel","pre-seed, idea, prototype/mvp, seed",VC,250000,500000,Sector Agnostic
Grouport Ventures,"Czech Republic,Poland,Slovakia,Hungary,Australia,Lithuania,Switzerland,Latvia,Estonia,Bulgaria,Belarus,Croatia,Slovenia","pre-seed, idea, prototype/mvp, seed",VC,40000,270000,Other
Grove Ventures,Israel,"pre-seed, idea, prototype/mvp, seed",VC,500000,5000000,IT
Growth Warrior Capital,"United States,Canada","pre-seed, idea, prototype/mvp, seed, series+",VC,125000,1000000,"IT, Fintech"
Gumi Cryptos Capital,United States,"pre-seed, idea, prototype/mvp",Corporate VC,100000,5000000,IT
Haatch,United Kingdom,"pre-seed, idea, prototype/mvp, seed",VC,150000,800000,IT
Halogen Ventures,United States,"pre-seed, idea, prototype/mvp, seed",VC,100000,3000000,Consumer
Harlem Capital,United States,"pre-seed, idea, prototype/mvp, seed",VC,750000,2000000,Consumer
Hartmann Metaverse Ventures,"United States,Canada,Germany,United Kingdom,Ukraine,France,Poland,Sweden,Switzerland,Australia,Austria,New Zealand,Italy,Spain,Portugal,Belgium,Netherlands,Ireland","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,1000000,Sector Agnostic
Harvard Business School Angels Chicago,"United States,Canada","pre-seed, idea, prototype/mvp, seed, series+",Angel network,100000,750000,Sector Agnostic
HashedHealth,United States,"pre-seed, idea, prototype/mvp, seed",Startup studio,300000,300000,Sector Agnostic
Hasoub Angels (formerly the Arab angels club),"Israel,United States","pre-seed, seed",Angel network,100000,250000,Sector Agnostic
Heal Capital,"Germany,United Kingdom,Spain,France,Italy,Poland,Netherlands,Austria,Switzerland,Norway,Sweden,Finland","pre-seed, seed",VC,1000000,5000000,IT
Healthy Ventures,United States,"pre-seed, seed",VC,1000000,2000000,IT
Heartcore Capital,"Belgium,Denmark,Finland,France,Germany,Hungary,Netherlands,Norway,Poland,Portugal,Spain,Sweden,Switzerland,United Kingdom","pre-seed, idea, prototype/mvp",VC,100000,5000000,IT
Hellens Rock Capital,"Romania,Hungary,Serbia,Bulgaria,Czech Republic,Slovakia,Croatia,Switzerland,Greece,Germany,France,Netherlands,Austria,Belgium,Italy,Spain,Portugal,Moldova,Poland,Slovenia,Denmark,Sweden,Norway","pre-seed, seed, series+",VC,100000,1000000,"Media, Fintech"
Henkel Ventures,"Canada,United States,China,Hong Kong,India,Japan,Albania,Andorra,Austria,Bosnia-H,Bulgaria,Croatia,Cyprus,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Holy See,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom,Ukraine,Israel,United Arab Emirates","pre-seed, idea, prototype/mvp, seed, series+",Corporate VC,1000000,5000000,Other
HenQ Capital Partners,"Netherlands,France,Finland,Germany,Estonia,Latvia,Belgium,Luxembourg,Spain,Portugal,Italy,Ukraine,United Kingdom,Switzerland,Sweden,Norway,Belarus,Poland,Czech Republic,Slovakia,Slovenia,Romania,Hungary,Russia,Ireland,Greece,North Macedonia,Serbia,Croatia,Lithuania,Bulgaria,Moldova,Austria,Denmark","pre-seed, idea, prototype/mvp, seed",VC,200000,5000000,Other
HG Ventures by The Heritage Group,"Israel,United States,Canada,United Kingdom","pre-seed, idea, prototype/mvp, seed, series+",Corporate VC,1000000,9000000,Other
Hibernia Private,"United Kingdom,Ireland,United States","pre-seed, idea, prototype/mvp, seed, series+",Other,500000,5000000,Sector Agnostic
High Flyers Capital,France,"pre-seed, seed",VC,250000,350000,Other
High Street Equity Partners,United States,"pre-seed, seed, series+",VC,50000,400000,Sector Agnostic
Hirschvogel Ventures,"Germany,Austria,Switzerland,Belgium,Netherlands,United Kingdom,Slovenia,Spain,Croatia","pre-seed, seed, series+",Corporate VC,250000,10000000,Sector Agnostic
Hitachi Ventures,"United States,Canada,Germany,Switzerland,United Kingdom,France,Croatia,Czech Republic,Denmark,Estonia,Italy,Finland,Andorra,Sweden,Belgium,Poland,Portugal,Spain,Austria,Israel,Japan,Hungary","pre-seed, pre-ipo, seed, series+",Corporate VC,2000000,10000000,"Energy, Fintech, IoT"
HoaQ,"Nigeria,France,United Kingdom","pre-seed, seed, series+",Angel network,5000,50000,Sector Agnostic
Homegrown CPG,"United Arab Emirates,Saudi Arabia,India,Tunisia,Morocco,Qatar,Oman,Bahrain","pre-seed, seed, series+",VC,100000,1000000,Sector Agnostic
Homeroom Fund,United States,"pre-seed, idea, prototype/mvp, seed, series+",VC,10000,100000,IT
Honey Island Capital,"Argentina,Brazil,Mexico,Colombia,Chile,Uruguay,Peru,Venezuela,Paraguay,Ecuador","pre-seed, idea, prototype/mvp, seed",VC,200000,1000000,"IT, Fintech"
Horseshoe Capital,"Brazil,Canada,India,United States,United Arab Emirates,United Kingdom,France,Germany,Spain,Portugal,Mexico,Pakistan,Italy,Argentina","pre-seed, idea, prototype/mvp, seed, series+",VC,50000,250000,Sector Agnostic
Houghton Street Ventures,"United Kingdom,United States,India,Germany,France,Brazil,Mexico,Canada,Colombia,Singapore,Hong Kong,Morocco,Egypt,Spain,Portugal,China,Austria,Australia,Indonesia,Ireland,Italy,Israel,Malaysia,Norway,Netherlands,Sweden,United Arab Emirates,Turkey,Switzerland","pre-seed, idea, prototype/mvp, seed, series+",VC,500000,2000000,Sector Agnostic
How Women Invest,United States,"pre-seed, seed, series+",VC,100000,750000,Other
HTGF High-Tech Gründerfonds,"Germany,Switzerland,Austria,Belgium,France,Denmark,Netherlands,Sweden,Finland,Italy,Spain","pre-seed, idea, prototype/mvp, seed",VC,300000,1000000,IT
Hummingbird Capital Partners,"India,Poland,United Arab Emirates,Israel,Indonesia,Saudi Arabia,Egypt,Switzerland,Nigeria,Vietnam,Oman","pre-seed, pre-ipo, seed, series+",PE fund,50000,3000000,Sector Agnostic
Hummingbird Ventures,"United Kingdom,India,Turkey,Belgium,Indonesia,Brazil,Mexico,Canada,United States,Netherlands,Nigeria,France,Singapore,Greece,United Arab Emirates","pre-seed, idea, prototype/mvp, seed, series+",VC,500000,10000000,Sector Agnostic
Hustle Fund,"United States,Indonesia,Vietnam,Canada","pre-seed, idea, prototype/mvp, seed",VC,25000,25000,Sector Agnostic
Hyde Park Venture Partners,United States,"pre-seed, idea, prototype/mvp, seed, series+",VC,250000,3000000,IT
Hypertherm Ventures,"United States,United Kingdom","pre-seed, idea, prototype/mvp, seed, series+",Corporate VC,3000000,3000000,Sector Agnostic
IAN Fund,India,"pre-seed, seed, series+",VC,1000000,6000000,IT
IBB Ventures,Germany,"pre-seed, idea, prototype/mvp, seed, series+",Public fund,200000,1000000,Sector Agnostic
Icos Capital Management,"Netherlands,Israel,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,North Macedonia,Norway,Poland,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom","pre-seed, seed, series+",VC,250000,5000000,Sector Agnostic
ID Capital,"Australia,China,France,Germany,South Korea,Singapore,Israel,Netherlands","pre-seed, idea, prototype/mvp, seed",Family office,100000,1000000,Other
Id4 Ventures,"Austria,Belgium,Croatia,Czech Republic,Denmark,Estonia,Finland,France,Germany,Ireland,Italy,Latvia,Lithuania,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Spain,Sweden,Switzerland,United Kingdom","pre-seed, idea, prototype/mvp, seed",VC,50000,1000000,IT
IDC Ventures,"Argentina,Colombia,Mexico,United States,Denmark,France,Germany,Portugal,Spain,Sweden","pre-seed, seed, series+",VC,1000000,7000000,Fintech
Idekapital,"Norway,Denmark,Sweden,United Kingdom,Germany,United States,Singapore,Finland,Iceland","pre-seed, seed, series+",VC,1000000,10000000,IT
Identity Ventures,"Austria,Belgium,Bulgaria,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,United Kingdom","pre-seed, idea, prototype/mvp, seed, series+",VC,300000,3000000,Sector Agnostic
IGC Fund,"United States,United Arab Emirates,Canada","pre-seed, idea, prototype/mvp, seed, series+",VC,100000,500000,Other
Ignite Asia,"Malaysia,Singapore,Indonesia,Thailand,Vietnam","pre-seed, idea, prototype/mvp, seed",Angel network,50000,100000,IT
